;RPMDiz;Udz;Ud;Ugen;Iv;Igen;alpha16;TestV;ChopReg;UUAL;UUBL;UUCL;IaL;IbL;IcL;IdzL;IdL;IqzL;IqL;E_MaxL;E_LineL;E_ampL;IqLCurLim;fUmL;UkdL;UkqL;UUdL;UUqL;ThetaL;SpeedLz1_16;DeltaSpeedL1;DeltaSpeedL;SpeedL;SpeedLz;Iaz;ImL;UdSIL;UqSIL;UAlphaSIL;UUAR;UUBR;UUCR;IaR;IbR;IcR;IdzR;IdR;IqzR;IqR;E_MaxR;E_LineR;E_ampR;IqRCurLim;fUmR;sdELint;sdERint;UUdR;UUqR;ThetaR;SpeedRz1_16;DeltaSpeedR1;DeltaSpeedR;SpeedR;SpeedRz;EAlphaInstL;EBetaInstL;EAlphaInstR;EBetaInstR;AverageCarSpeed;M1;CTR_CAP4;CTR_CAP1;CTR_CAP2;freq_3_harm;PowerMax16;PowerL16;PowerR16;UAlphaSIR;UBetaSIR;LimitSummSpeedL;LimitSummSpeedR;SpeedLzCruize;SpeedRzCruize;UAlphaSIL;UBetaSIL;IqzLCruize;IqzRCruize;SummSpeedLint;SummSpeedRint;PowerUvtr;DeltaSpeedLCruize;DeltaSpeedRCruize;IfRMSL;iffL;Faults1;Faults2;FaultsC;FaultsDINV;FaultsDCHOP;
208;1305;650;712;645;78;2;109;1234;13569;17879;5346;14275;-2045;920;1246;1005;1050;-1770;-1764;357;183;186;2491;7634;-46;-625;2633;6971;22255;298;0;881;298;298;750;305;68;181;139;15922;16217;5361;663;-2066;1342;998;914;-1829;-1863;357;167;170;2491;6922;1015;1018;2987;6487;32085;271;0;894;271;271;153;-108;49;163;283;-32768;8206;3898;10239;261;811;-378;-345;88;162;30;30;283;283;139;-134;0;0;30;-30;1321;0;0;0;0;0;0;0;0;0;
209;1305;650;717;645;79;3;109;1234;13063;18394;5431;13675;-2026;813;1339;1000;1008;-1769;-1782;357;183;185;2491;7627;-46;-630;2781;7048;22665;298;0;882;298;298;856;301;72;183;153;15576;16412;5512;799;-2060;1266;1003;947;-1830;-1851;357;167;172;2491;6930;1015;1018;2843;6403;32358;271;0;893;271;271;163;-87;50;167;283;-32768;10429;6120;12462;261;811;-377;-346;79;163;30;30;283;283;153;-123;0;0;30;-30;1321;0;0;0;0;0;0;0;0;0;
210;1305;650;723;645;78;4;109;1234;12907;18559;5635;13306;-2014;666;1416;1004;1034;-1770;-1781;357;183;187;2491;7625;-46;-628;2638;7028;22938;298;0;881;298;298;895;306;68;182;157;15330;16374;5796;900;-2070;1134;993;995;-1829;-1799;357;167;174;2491;6933;1014;1018;2638;6194;32495;271;0;894;271;271;168;-89;59;166;281;-32768;12650;8342;1950;261;811;-381;-340;73;158;30;30;281;281;157;-115;0;0;30;-30;1321;2;2;0;0;0;0;0;0;0;
211;1305;650;727;662;78;2;105;1234;13500;18775;5907;12818;-1983;543;1505;994;1049;-1769;-1771;357;183;187;2491;7621;-46;-619;2527;6995;23211;298;0;882;298;298;983;308;65;181;163;14797;16751;5952;1043;-2080;1023;983;1043;-1830;-1791;357;167;171;2491;6925;1014;1018;2428;6186;0;271;0;893;271;271;171;-79;33;165;281;-32768;2147;10565;4178;261;811;-383;-346;59;162;30;30;281;281;163;-103;0;0;30;-30;1321;0;0;0;0;0;0;0;0;0;
212;1305;650;729;663;79;4;105;1234;14500;19179;6171;12151;-1939;409;1597;994;1026;-1770;-1781;357;183;185;2491;7614;-46;-626;2625;7046;23620;298;0;881;298;298;1092;301;68;183;173;14259;17236;6005;1171;-2109;937;998;1077;-1829;-1816;357;167;170;2491;6914;1014;1018;2362;6291;273;271;0;894;271;271;177;-51;14;168;281;-32768;4330;12748;6361;261;811;-384;-356;45;168;30;30;281;281;173;-89;0;0;30;-30;1321;0;0;0;0;0;0;0;0;0;
213;1305;650;731;662;78;3;105;1234;15500;19155;6394;11952;-1872;296;1672;1004;1031;-1769;-1752;357;183;185;2491;7611;-46;-629;2605;6915;23893;298;0;882;298;298;1233;303;67;179;173;13817;17738;5945;1257;-2109;845;1003;1023;-1830;-1854;357;167;169;2491;6907;1014;1018;2605;6428;683;271;0;893;271;271;178;-54;-5;169;281;-32768;6552;2207;8583;261;811;-374;-357;34;177;30;30;281;281;173;-83;0;0;30;-30;1321;0;0;0;0;0;0;0;0;0;
214;1305;650;727;644;78;3;105;1234;15300;19222;6774;11505;-1806;143;1727;1004;1053;-1770;-1728;357;183;184;2491;7603;-46;-625;2483;6818;24166;298;0;881;298;298;1324;302;64;177;174;13662;17691;6147;1324;-2051;726;1008;1009;-1829;-1817;357;167;169;2491;6908;1014;1018;2622;6239;956;271;0;894;271;271;178;-44;1;169;281;-32768;8775;4430;10806;261;811;-373;-341;30;173;30;30;281;281;174;-71;0;0;30;-30;1321;0;0;0;0;0;0;0;0;0;
215;1305;650;721;644;78;3;105;1234;14820;19598;6995;10908;-1755;40;1788;1009;1009;-1769;-1754;357;183;182;2491;7590;-46;-636;2701;6942;24576;298;0;882;298;298;1407;296;70;180;184;13316;17879;6305;1400;-2040;594;1008;1006;-1830;-1804;357;167;169;2491;6903;1014;1018;2616;6204;1229;271;0;893;271;271;180;-18;-7;169;281;-32768;10988;6643;256;261;811;-372;-339;21;173;30;30;281;281;184;-58;0;0;30;-30;1321;0;0;0;0;0;0;0;0;0;
216;1305;650;720;652;78;4;105;1234;14338;19640;7144;10717;-1703;-60;1836;1019;1003;-1770;-1757;357;183;184;2491;7585;-46;-638;2726;6915;24849;298;0;881;298;298;1485;301;70;179;185;12908;18043;6549;1490;-1996;476;1008;1023;-1829;-1791;357;167;167;2491;6897;1014;1018;2536;6147;1502;271;0;894;271;271;185;-24;-17;165;281;-32768;476;8874;2487;261;811;-368;-338;10;172;30;30;281;281;185;-53;0;0;30;-30;1321;0;0;0;0;0;0;0;0;0;
217;1305;650;717;665;79;2;100;1234;13755;19731;7470;10300;-1644;-158;1890;1009;1003;-1769;-1758;357;183;185;2491;7579;-46;-628;2673;6915;25122;298;0;882;298;298;1570;304;69;179;188;12514;18315;6671;1584;-1992;370;1018;1038;-1830;-1813;357;167;167;2491;6888;1014;1018;2521;6233;1775;271;0;893;271;271;186;-17;-30;165;281;-32768;2731;11156;4764;261;811;-370;-345;0;174;30;30;281;281;188;-42;0;0;30;-30;1321;0;0;0;0;0;0;0;0;0;
