;RPMDiz;Udz;Ud;Ugen;Iv;Igen;alpha16;TestV;ChopReg;UUAL;UUBL;UUCL;IaL;IbL;IcL;IdzL;IdL;IqzL;IqL;E_MaxL;E_LineL;E_ampL;IqLCurLim;fUmL;UkdL;UkqL;UUdL;UUqL;ThetaL;SpeedLz1_16;DeltaSpeedL1;DeltaSpeedL;SpeedL;SpeedLz;Iaz;ImL;UdSIL;UqSIL;UAlphaSIL;UUAR;UUBR;UUCR;IaR;IbR;IcR;IdzR;IdR;IqzR;IqR;E_MaxR;E_LineR;E_ampR;IqRCurLim;fUmR;sdELint;sdERint;UUdR;UUqR;ThetaR;SpeedRz1_16;DeltaSpeedR1;DeltaSpeedR;SpeedR;SpeedRz;EAlphaInstL;EBetaInstL;EAlphaInstR;EBetaInstR;AverageCarSpeed;M1;CTR_CAP4;CTR_CAP1;CTR_CAP2;freq_3_harm;PowerMax16;PowerL16;PowerR16;UAlphaSIR;UBetaSIR;LimitSummSpeedL;LimitSummSpeedR;SpeedLzCruize;SpeedRzCruize;UAlphaSIL;UBetaSIL;IqzLCruize;IqzRCruize;SummSpeedLint;SummSpeedRint;PowerUvtr;DeltaSpeedLCruize;DeltaSpeedRCruize;IfRMSL;iffL;Faults1;Faults2;FaultsC;FaultsDINV;FaultsDCHOP;
242;1820;940;944;1097;201;529;76;1234;0;25000;16396;0;852;-279;-601;260;177;894;853;494;828;496;894;17337;108;-638;-1727;17401;26761;3000;1658;348;1342;2640;-786;207;-52;540;397;0;19168;22846;-895;933;-6;226;238;900;1018;491;906;487;900;17365;285;231;-3185;16849;6554;3000;1531;348;1469;2640;391;302;-481;-24;1408;3825;2740;9110;4558;364;1384;704;669;-525;-64;30;30;442;442;397;369;0;0;36;-36;2295;-966;-966;0;76;0;0;0;0;0;
243;1820;940;953;1091;220;580;85;1234;0;0;23099;19531;-573;834;-239;290;291;900;791;492;831;494;900;17366;109;-557;-2208;17614;5734;3000;1653;347;1347;2640;732;265;-68;544;-544;25000;3699;3783;703;-889;180;252;277;914;893;492;909;488;914;17354;285;232;-3239;17218;22391;3000;1527;345;1473;2640;-486;102;486;-43;1409;4516;5473;2901;7327;364;1384;705;692;541;0;30;30;442;442;-544;63;0;0;36;-36;2295;-967;-967;0;77;0;0;0;0;0;
244;1825;940;935;1083;180;437;70;1234;0;21678;0;20380;-14;-896;896;242;228;886;1008;486;835;489;886;17412;108;-707;-2175;16936;17476;3000;1646;351;1354;2640;-652;171;-66;523;283;0;23164;18864;-751;924;-151;238;136;911;964;489;909;486;911;17371;282;233;-2631;17007;5325;3000;1527;345;1473;2640;231;-427;-472;106;1410;6929;8262;5373;837;365;1384;671;689;-526;76;30;30;442;442;283;-444;0;0;35;-36;2295;-968;-968;0;77;0;0;0;0;0;
245;1825;940;947;1096;210;561;61;1234;0;16436;25000;0;860;125;-954;215;330;891;1008;486;840;493;891;17335;109;-609;-2807;16835;29491;3000;1639;349;1361;2640;577;178;-86;522;121;25000;0;8118;753;-992;283;202;98;907;1048;486;906;482;907;17381;280;232;-2829;16651;21026;3000;1531;346;1469;2640;145;465;444;-161;1412;9684;1952;8247;3748;365;1384;670;673;504;-134;30;30;442;442;121;516;0;0;35;-35;2295;-970;-970;0;76;0;0;0;0;0;
246;1825;940;951;1100;198;500;67;1234;0;0;13113;25000;-858;587;333;244;256;894;831;490;840;500;894;17321;109;-517;-2245;17514;8875;3000;1639;349;1361;2640;-509;243;-69;544;-484;0;25000;14456;-523;826;-275;182;79;903;818;490;908;500;903;17331;279;232;-2507;17501;4096;3000;1529;346;1471;2640;-462;-200;-437;246;1410;4575;4727;1857;6548;365;1384;704;716;-502;220;30;30;442;442;-484;-257;0;0;35;-35;2295;-968;-968;0;76;0;0;0;0;0;
247;1825;940;935;1075;199;519;76;1234;0;25000;0;8000;470;-880;355;261;279;892;806;489;840;495;892;17374;110;-549;-2392;17669;21163;3000;1639;349;1361;2640;392;242;-73;546;531;25000;0;11448;422;-963;554;226;222;903;945;487;910;490;903;17361;276;231;-3045;17176;19934;3000;1526;348;1474;2640;468;-171;425;-248;1410;4776;7462;4890;299;365;1384;702;687;481;-240;30;30;442;442;531;-145;0;0;35;-35;2295;-968;-968;0;77;0;0;0;0;0;
248;1825;940;946;1107;222;578;71;1234;0;3858;25000;3261;214;624;-778;226;317;898;774;491;840;500;898;17323;111;-522;-2548;17703;683;3000;1639;347;1361;2640;-250;222;-78;550;-267;0;25000;11398;-216;864;-651;266;272;914;858;490;908;486;914;17325;276;231;-3192;17228;2867;3000;1528;345;1472;2640;-194;460;-385;302;1410;5719;1391;7738;3203;365;1384;715;694;-453;301;30;30;442;442;-267;486;0;0;35;-35;2295;-968;-968;0;76;0;0;0;0;0;
249;1825;940;934;1098;184;457;83;1234;0;7736;0;25000;-796;39;813;230;337;892;847;493;845;499;892;17378;110;-542;-2804;17566;12834;3000;1630;349;1370;2640;204;217;-86;542;-147;25000;0;14036;3;-891;923;233;472;907;934;491;907;490;907;17360;275;233;-4141;17131;18842;3000;1530;346;1470;2640;-174;-465;380;-310;1413;6807;4053;1154;5847;365;1384;696;675;445;-312;30;30;442;442;-147;-529;0;0;35;-35;2295;-971;-971;0;77;0;0;0;0;0;
250;1825;940;948;1076;210;557;79;1234;0;25000;11946;0;841;-570;-310;273;258;897;814;490;848;497;897;17399;111;-502;-2329;17656;25259;3000;1625;348;1375;2640;-89;280;-71;545;485;0;25000;6992;-80;726;-663;228;191;913;781;491;910;501;913;17345;273;233;-2941;17711;1775;3000;1526;345;1474;2640;461;203;-312;405;1415;3865;6811;4257;8650;365;1384;704;723;-373;413;30;30;442;442;485;259;0;0;34;-35;2295;-973;-973;0;77;0;0;0;0;0;
251;1825;940;945;1087;211;547;80;1234;0;0;25000;15873;-533;901;-275;289;191;904;840;493;843;494;904;17373;112;-774;-2093;17559;4642;3000;1634;347;1366;2640;52;189;-64;542;-516;23821;0;18235;81;-890;803;187;174;902;964;488;913;493;902;17374;274;232;-3406;17022;17749;3000;1520;347;1480;2640;-459;197;289;-394;1414;4367;597;6957;2377;365;1384;707;682;349;-406;30;30;442;442;-516;177;0;0;35;-35;2295;-972;-972;0;77;0;0;0;0;0;
